taxon_key,name,gbif_now,cube_occ,occ_ratio,HUMAN_OBSERVATION,MACHINE_OBSERVATION,MATERIAL_SAMPLE,PRESERVED_SPECIMEN,OCCURRENCE,MATERIAL_CITATION
1340361,Bombus hyperboreus,206,180,0.874,76.214,2.427,2.913,18.447,0.0,0.0
1340503,Bombus terrestris,188063,165041,0.878,93.569,0.149,0.543,4.016,1.643,0.013
1536449,Episyrphus balteatus,102546,83078,0.81,94.055,0.051,1.72,4.075,0.0,0.009
1898286,Vanessa atalanta,1950367,1695045,0.869,99.139,0.565,0.012,0.233,0.02,0.02
1920506,Pieris brassicae,1837584,1702382,0.926,99.68,0.094,0.014,0.173,0.008,0.02
2430567,Pelobates fuscus,12252,7880,0.643,94.696,0.0,0.069,0.242,0.527,4.423
2431885,Triturus cristatus,132555,97055,0.732,99.344,0.002,0.042,0.063,0.003,0.546
2433433,Ursus arctos,22498,3925,0.174,89.888,0.178,5.582,1.552,0.33,2.461
2434779,Monachus monachus,112,38,0.339,99.107,0.0,0.0,0.893,0.0,0.0
2435240,Lynx lynx,62582,38578,0.616,62.372,32.135,3.303,1.383,0.102,0.703
2435261,Lynx pardinus,578,231,0.4,99.654,0.0,0.0,0.0,0.0,0.346
2437394,Callosciurus erythraeus,850,787,0.926,99.882,0.0,0.0,0.118,0.0,0.0
2441454,Testudo hermanni,30830,28282,0.917,99.932,0.0,0.0,0.023,0.045,0.0
2473958,Perdix perdix,293573,272584,0.929,99.926,0.016,0.002,0.027,0.009,0.017
2491534,Emberiza citrinella,1827163,1625839,0.89,99.85,0.004,0.008,0.015,0.004,0.008
2891770,Impatiens glandulifera,344711,226041,0.656,98.496,0.009,0.057,0.276,0.133,0.069
3034825,Heracleum mantegazzianum,117288,101710,0.867,99.488,0.014,0.004,0.263,0.048,0.073
4408498,Crex crex,168171,101688,0.605,99.543,0.003,0.015,0.185,0.035,0.054
5218786,Procyon lotor,16649,13528,0.813,84.852,14.758,0.006,0.192,0.15,0.036
5219073,Gulo gulo,35290,4219,0.12,90.336,3.141,6.191,0.327,0.0,0.0
5219173,Canis lupus,32758,16136,0.493,80.338,14.74,2.326,1.647,0.306,0.602
5219219,Canis aureus,19634,536,0.027,83.208,9.035,0.005,0.728,0.031,0.168
5844449,Aquila fasciata,47438,34299,0.723,96.536,3.382,0.0,0.077,0.0,0.005
8002952,Ambrosia artemisiifolia,83078,55454,0.667,95.611,0.001,0.013,1.129,0.172,0.524
8077224,Alauda arvensis,1769317,1586092,0.896,99.957,0.007,0.001,0.015,0.003,0.003
8894817,Caretta caretta,61397,3455,0.056,21.203,78.22,0.48,0.087,0.005,0.005
8909809,Emys orbicularis,37186,28846,0.776,99.067,0.003,0.008,0.027,0.222,0.667
9809229,Sturnus vulgaris,3416868,2962694,0.867,99.931,0.004,0.002,0.008,0.002,0.005
